z,n,name,bindingEnergy,bindingEnergykev,bindingEnergy per nucleon,bindingEnergyUncertainty
50,72,122Sn,1034.56,1034560,8.48E+3,2.01E-2
50,75,125Sn,1055,1055000,8.44E+3,1.06E-2
50,75,125Sn,1055,1055000,8.44E+3,1.06E-2
50,74,124Sn,1049.04,1049040,8.46E+3,1.06E-2
50,77,127Sn,1069.34,1069340,8.42E+3,7.26E-2
50,77,127Sn,1069.34,1069340,8.42E+3,7.26E-2
50,76,126Sn,1063.44,1063440,8.44E+3,8.48E-2
50,79,129Sn,1082.31,1082310,8.39E+3,1.33E-1
50,79,129Sn,1082.31,1082310,8.39E+3,1.33E-1
50,78,128Sn,1076.48,1076480,8.41E+3,1.38E-1
50,78,128Sn,1076.48,1076480,8.41E+3,1.38E-1
50,80,130Sn,1089.4,1089400,8.38E+3,1.44E-2
50,80,130Sn,1089.4,1089400,8.38E+3,1.44E-2
50,82,132Sn,1102.2,1102200,8.35E+3,1.50E-2
50,81,131Sn,1095.16,1095160,8.36E+3,2.76E-2
50,81,131Sn,1095.16,1095160,8.36E+3,2.76E-2
50,84,134Sn,1108.18,1108180,8.27E+3,2.36E-2
50,83,133Sn,1105.23,1105230,8.31E+3,1.43E-2
50,86,136Sn,1113.84,1113840,8.19E+3,1
50,85,135Sn,1111.05,1111050,8.23E+3,2.28E-2
50,88,138Sn,1119.18,1119180,8.11E+3,3
50,87,137Sn,1116.55,1116550,8.15E+3,2
50,89,139Sn,1121.73,1121730,8.07E+3,3
50,90,140Sn,1124.2,1124200,8.03E+3,2
51,54,105Sb,871.5,871500,8.30E+3,2.07E-1
51,53,104Sb,858,858000,8.25E+3,1
51,56,107Sb,893.45,893450,8.35E+3,3.88E-2
51,55,106Sb,881.92,881920,8.32E+3,7.03E-2
51,58,109Sb,915.6,915600,8.40E+3,4.83E-2
51,57,108Sb,903.96,903960,8.37E+3,5.09E-2
51,59,110Sb,925.1,925100,8.41E+3,5.42E-2
51,61,112Sb,945.28,945280,8.44E+3,1.59E-1
51,60,111Sb,936.84,936840,8.44E+3,7.96E-2
51,63,114Sb,964.44,964440,8.46E+3,1.73E-1
51,62,113Sb,955.98,955980,8.46E+3,1.52E-1
51,65,116Sb,982.52,982520,8.47E+3,4.44E-2
51,65,116Sb,982.52,982520,8.47E+3,4.44E-2
51,64,115Sb,975.2,975200,8.48E+3,1.39E-1
51,67,118Sb,999.46,999460,8.47E+3,2.56E-2
51,67,118Sb,999.46,999460,8.47E+3,2.56E-2
51,66,117Sb,992.16,992160,8.48E+3,7.21E-2
51,69,120Sb,1016.4,1016400,8.47E+3,6.00E-2
51,69,120Sb,1016.4,1016400,8.47E+3,6.00E-2
51,68,119Sb,1009.12,1009120,8.48E+3,5.88E-2
51,68,119Sb,1009.12,1009120,8.48E+3,5.88E-2
51,70,121Sb,1026.08,1026080,8.48E+3,2.07E-2
51,72,123Sb,1041.81,1041810,8.47E+3,1.10E-2
51,71,122Sb,1032.12,1032120,8.46E+3,2.05E-2
51,71,122Sb,1032.12,1032120,8.46E+3,2.05E-2
51,74,125Sb,1056.25,1056250,8.45E+3,2.01E-2
51,73,124Sb,1047.8,1047800,8.45E+3,1.10E-2
51,73,124Sb,1047.8,1047800,8.45E+3,1.10E-2
51,73,124Sb,1047.8,1047800,8.45E+3,1.10E-2
51,76,127Sb,1070.61,1070610,8.43E+3,4.00E-2
51,75,126Sb,1063.44,1063440,8.44E+3,2.52E-1
51,75,126Sb,1063.44,1063440,8.44E+3,2.52E-1
51,75,126Sb,1063.44,1063440,8.44E+3,2.52E-1
51,78,129Sb,1084.89,1084890,8.41E+3,1.64E-1
51,78,129Sb,1084.89,1084890,8.41E+3,1.64E-1
51,77,128Sb,1077.76,1077760,8.42E+3,1.46E-1
51,77,128Sb,1077.76,1077760,8.42E+3,1.46E-1
51,79,130Sb,1090.7,1090700,8.39E+3,1.09E-1
51,79,130Sb,1090.7,1090700,8.39E+3,1.09E-1
51,81,132Sb,1104.84,1104840,8.37E+3,1.87E-2
51,81,132Sb,1104.84,1104840,8.37E+3,1.87E-2
51,80,131Sb,1099.09,1099090,8.39E+3,1.59E-2
51,83,134Sb,1114.88,1114880,8.32E+3,2.29E-2
51,83,134Sb,1114.88,1114880,8.32E+3,2.29E-2
51,82,133Sb,1111.88,1111880,8.36E+3,2.35E-2
51,85,136Sb,1122,1122000,8.25E+3,4.29E-2
51,84,135Sb,1119.15,1119150,8.29E+3,1.96E-2
51,87,138Sb,1127.46,1127460,8.17E+3,2
51,86,137Sb,1124.77,1124770,8.21E+3,3.80E-1
51,89,140Sb,1134,1134000,8.10E+3,4
51,88,139Sb,1131.46,1131460,8.14E+3,3
51,90,141Sb,1136.46,1136460,8.06E+3,4
51,91,142Sb,1138.84,1138840,8.02E+3,2
52,54,106Te,872.38,872380,8.23E+3,9.48E-1
52,55,107Te,882.75,882750,8.25E+3,1
52,52,104Te,847.6,847600,8.15E+3,3.05
52,53,105Te,858.9,858900,8.18E+3,2.85
52,58,110Te,918.5,918500,8.35E+3,5.98E-2
52,59,111Te,927.96,927960,8.36E+3,5.79E-2
52,56,108Te,896.4,896400,8.30E+3,5.01E-2
52,57,109Te,905.79,905790,8.31E+3,4.02E-2
52,61,113Te,949.2,949200,8.40E+3,2.47E-1
52,62,114Te,961.02,961020,8.43E+3,2.14E-1
52,60,112Te,940.8,940800,8.40E+3,7.49E-2
52,65,117Te,988.65,988650,8.45E+3,1.15E-1
52,65,117Te,988.65,988650,8.45E+3,1.15E-1
52,66,118Te,998.28,998280,8.46E+3,1.55E-1
52,63,115Te,969.45,969450,8.43E+3,2.43E-1
52,63,115Te,969.45,969450,8.43E+3,2.43E-1
52,64,116Te,980.2,980200,8.45E+3,2.08E-1
52,69,121Te,1023.66,1023660,8.46E+3,2.13E-1
52,69,121Te,1023.66,1023660,8.46E+3,2.13E-1
52,67,119Te,1006.74,1006740,8.46E+3,6.12E-2
52,67,119Te,1006.74,1006740,8.46E+3,6.12E-2
52,68,120Te,1016.4,1016400,8.47E+3,1.46E-2
52,72,124Te,1050.28,1050280,8.47E+3,1.09E-2
52,73,125Te,1056.25,1056250,8.45E+3,1.08E-2
52,73,125Te,1056.25,1056250,8.45E+3,1.08E-2
52,70,122Te,1033.34,1033340,8.47E+3,1.11E-2
52,71,123Te,1040.58,1040580,8.46E+3,1.10E-2
52,71,123Te,1040.58,1040580,8.46E+3,1.10E-2
52,76,128Te,1080.32,1080320,8.44E+3,5.50E-3
52,77,129Te,1087.47,1087470,8.43E+3,5.50E-3
52,77,129Te,1087.47,1087470,8.43E+3,5.50E-3
52,74,126Te,1065.96,1065960,8.46E+3,1.07E-2
52,75,127Te,1071.88,1071880,8.44E+3,1.08E-2
52,75,127Te,1071.88,1071880,8.44E+3,1.08E-2
52,78,130Te,1095.9,1095900,8.43E+3,3.00E-4
52,79,131Te,1101.71,1101710,8.41E+3,5.00E-4
52,79,131Te,1101.71,1101710,8.41E+3,5.00E-4
52,79,131Te,1101.71,1101710,8.41E+3,5.00E-4
52,80,132Te,1108.8,1108800,8.40E+3,2.64E-2
52,83,135Te,1125.9,1125900,8.34E+3,1.28E-2
52,84,136Te,1130.16,1130160,8.31E+3,1.68E-2
52,81,133Te,1114.54,1114540,8.38E+3,1.55E-2
52,81,133Te,1114.54,1114540,8.38E+3,1.55E-2
52,82,134Te,1122.92,1122920,8.38E+3,2.05E-2
52,87,139Te,1141.19,1141190,8.21E+3,2.54E-2
52,88,140Te,1145.2,1145200,8.18E+3,1.02E-1
52,85,137Te,1134.36,1134360,8.28E+3,1.53E-2
52,86,138Te,1138.5,1138500,8.25E+3,2.74E-2
52,89,141Te,1147.74,1147740,8.14E+3,3
52,90,142Te,1151.62,1151620,8.11E+3,4
52,91,143Te,1154.01,1154010,8.07E+3,3
52,92,144Te,1157.76,1157760,8.04E+3,2
52,93,145Te,1158.55,1158550,7.99E+3,2
53,55,108I,882.36,882360,8.17E+3,1
53,56,109I,895.98,895980,8.22E+3,6.17E-2
53,59,112I,928.48,928480,8.29E+3,9.15E-2
53,57,110I,906.4,906400,8.24E+3,5.63E-1
53,58,111I,919.08,919080,8.28E+3,4.28E-2
53,62,115I,962.55,962550,8.37E+3,2.51E-1
53,63,116I,972.08,972080,8.38E+3,6.46E-1
53,60,113I,941.29,941290,8.33E+3,7.09E-2
53,61,114I,950.76,950760,8.34E+3,1.75E-1
53,61,114I,950.76,950760,8.34E+3,1.75E-1
53,66,119I,1001.98,1001980,8.42E+3,1.82E-1
53,67,120I,1010.4,1010400,8.42E+3,1.25E-1
53,67,120I,1010.4,1010400,8.42E+3,1.25E-1
53,64,117I,982.8,982800,8.40E+3,2.18E-1
53,65,118I,991.2,991200,8.40E+3,1.67E-1
53,65,118I,991.2,991200,8.40E+3,1.67E-1
53,68,121I,1021.24,1021240,8.44E+3,3.90E-2
53,69,122I,1028.46,1028460,8.43E+3,4.25E-2
53,70,123I,1038.12,1038120,8.44E+3,3.00E-2
53,73,126I,1062.18,1062180,8.43E+3,3.00E-2
53,74,127I,1071.88,1071880,8.44E+3,2.85E-2
53,71,124I,1046.56,1046560,8.44E+3,1.85E-2
53,72,125I,1056.25,1056250,8.45E+3,1.08E-2
53,77,130I,1094.6,1094600,8.42E+3,2.43E-2
53,77,130I,1094.6,1094600,8.42E+3,2.43E-2
53,78,131I,1103.02,1103020,8.42E+3,4.60E-3
53,75,128I,1079.04,1079040,8.43E+3,2.83E-2
53,76,129I,1087.47,1087470,8.43E+3,2.44E-2
53,79,132I,1108.8,1108800,8.40E+3,3.08E-2
53,79,132I,1108.8,1108800,8.40E+3,3.08E-2
53,80,133I,1117.2,1117200,8.40E+3,4.44E-2
53,80,133I,1117.2,1117200,8.40E+3,4.44E-2
53,81,134I,1122.92,1122920,8.38E+3,3.62E-2
53,81,134I,1122.92,1122920,8.38E+3,3.62E-2
53,84,137I,1139.84,1139840,8.32E+3,6.12E-2
53,85,138I,1144.02,1144020,8.29E+3,4.32E-2
53,82,135I,1131.3,1131300,8.38E+3,1.53E-2
53,83,136I,1135.6,1135600,8.35E+3,1.04E-1
53,83,136I,1135.6,1135600,8.35E+3,1.04E-1
53,88,141I,1156.2,1156200,8.20E+3,1.12E-1
53,89,142I,1158.72,1158720,8.16E+3,3.48E-2
53,86,139I,1148.14,1148140,8.26E+3,2.88E-2
53,87,140I,1150.8,1150800,8.22E+3,8.64E-2
53,87,140I,1150.8,1150800,8.22E+3,8.64E-2
53,87,140I,1150.8,1150800,8.22E+3,8.64E-2
53,91,144I,1164.96,1164960,8.09E+3,3
53,92,145I,1168.7,1168700,8.06E+3,3
53,90,143I,1162.59,1162590,8.13E+3,1
53,93,146I,1172.38,1172380,8.03E+3,2
53,94,147I,1176,1176000,8.00E+3,2
54,71,125Xe,1053.75,1053750,8.43E+3,1.12E-2
54,71,125Xe,1053.75,1053750,8.43E+3,1.12E-2
54,70,124Xe,1045.32,1045320,8.43E+3,1.10E-2
54,75,129Xe,1087.47,1087470,8.43E+3,3.00E-4
54,75,129Xe,1087.47,1087470,8.43E+3,3.00E-4
54,74,128Xe,1080.32,1080320,8.44E+3,3.00E-4
54,73,127Xe,1070.61,1070610,8.43E+3,3.22E-2
54,73,127Xe,1070.61,1070610,8.43E+3,3.22E-2
54,72,126Xe,1063.44,1063440,8.44E+3,3.00E-4
54,79,133Xe,1118.53,1118530,8.41E+3,1.80E-2
54,79,133Xe,1118.53,1118530,8.41E+3,1.80E-2
54,78,132Xe,1111.44,1111440,8.42E+3,3.00E-4
54,77,131Xe,1103.02,1103020,8.42E+3,3.00E-4
54,77,131Xe,1103.02,1103020,8.42E+3,3.00E-4
54,76,130Xe,1095.9,1095900,8.43E+3,3.00E-4
54,82,136Xe,1141.04,1141040,8.39E+3,3.00E-4
54,81,135Xe,1132.65,1132650,8.39E+3,2.72E-2
54,81,135Xe,1132.65,1132650,8.39E+3,2.72E-2
54,80,134Xe,1126.94,1126940,8.41E+3,3.00E-4
54,80,134Xe,1126.94,1126940,8.41E+3,3.00E-4
54,86,140Xe,1160.6,1160600,8.29E+3,1.66E-2
54,85,139Xe,1155.09,1155090,8.31E+3,1.54E-2
54,84,138Xe,1150.92,1150920,8.34E+3,2.03E-2
54,83,137Xe,1145.32,1145320,8.36E+3,8.00E-4
54,89,143Xe,1171.17,1171170,8.19E+3,3.25E-2
54,88,142Xe,1168.66,1168660,8.23E+3,1.90E-2
54,87,141Xe,1163.25,1163250,8.25E+3,2.05E-2
54,93,147Xe,1186.29,1186290,8.07E+3,1
54,92,146Xe,1184.06,1184060,8.11E+3,1.65E-1
54,91,145Xe,1178.85,1178850,8.13E+3,7.71E-2
54,90,144Xe,1176.48,1176480,8.17E+3,3.69E-2
54,96,150Xe,1197,1197000,7.98E+3,2
54,95,149Xe,1192,1192000,8.00E+3,2
54,94,148Xe,1189.92,1189920,8.04E+3,2
54,57,111Xe,907.98,907980,8.18E+3,1
54,56,110Xe,896.5,896500,8.15E+3,9.18E-1
54,55,109Xe,882.9,882900,8.10E+3,2.75
54,54,108Xe,871.56,871560,8.07E+3,3.51
54,59,113Xe,931.12,931120,8.24E+3,6.05E-2
54,58,112Xe,921.76,921760,8.23E+3,7.40E-2
54,60,114Xe,943.92,943920,8.28E+3,9.81E-2
54,64,118Xe,987.66,987660,8.37E+3,8.80E-2
54,63,117Xe,975.78,975780,8.34E+3,8.87E-2
54,62,116Xe,966.28,966280,8.33E+3,1.12E-1
54,61,115Xe,954.5,954500,8.30E+3,1.05E-1
54,68,122Xe,1027.24,1027240,8.42E+3,9.11E-2
54,67,121Xe,1016.4,1016400,8.40E+3,8.47E-2
54,66,120Xe,1008,1008000,8.40E+3,9.85E-2
54,65,119Xe,996.03,996030,8.37E+3,8.72E-2
54,69,123Xe,1035.66,1035660,8.42E+3,7.75E-2
55,58,113Cs,919.82,919820,8.14E+3,7.59E-2
55,57,112Cs,907.2,907200,8.10E+3,1
55,59,114Cs,931.38,931380,8.17E+3,7.46E-1
55,61,116Cs,954.68,954680,8.23E+3,1
55,61,116Cs,954.68,954680,8.23E+3,1
55,60,115Cs,944.15,944150,8.21E+3,1
55,65,120Cs,998.4,998400,8.32E+3,8.30E-2
55,65,120Cs,998.4,998400,8.32E+3,8.30E-2
55,64,119Cs,988.89,988890,8.31E+3,1.17E-1
55,64,119Cs,988.89,988890,8.31E+3,1.17E-1
55,63,118Cs,977.04,977040,8.28E+3,1.08E-1
55,63,118Cs,977.04,977040,8.28E+3,1.08E-1
55,62,117Cs,967.59,967590,8.27E+3,5.33E-1
55,62,117Cs,967.59,967590,8.27E+3,5.33E-1
55,69,124Cs,1039.12,1039120,8.38E+3,7.38E-2
55,69,124Cs,1039.12,1039120,8.38E+3,7.38E-2
55,68,123Cs,1030.74,1030740,8.38E+3,9.85E-2
55,68,123Cs,1030.74,1030740,8.38E+3,9.85E-2
55,67,122Cs,1018.7,1018700,8.35E+3,2.76E-1
55,67,122Cs,1018.7,1018700,8.35E+3,2.76E-1
55,67,122Cs,1018.7,1018700,8.35E+3,2.76E-1
55,66,121Cs,1010.35,1010350,8.35E+3,1.18E-1
55,66,121Cs,1010.35,1010350,8.35E+3,1.18E-1
55,72,127Cs,1068.07,1068070,8.41E+3,4.39E-2
55,71,126Cs,1057.14,1057140,8.39E+3,8.22E-2
55,70,125Cs,1048.75,1048750,8.39E+3,6.19E-2
55,76,131Cs,1101.71,1101710,8.41E+3,1.40E-3
55,75,130Cs,1092,1092000,8.40E+3,6.43E-2
55,75,130Cs,1092,1092000,8.40E+3,6.43E-2
55,74,129Cs,1084.89,1084890,8.41E+3,3.53E-2
55,73,128Cs,1075.2,1075200,8.40E+3,4.20E-2
55,79,134Cs,1124.26,1124260,8.39E+3,3.00E-4
55,79,134Cs,1124.26,1124260,8.39E+3,3.00E-4
55,78,133Cs,1117.2,1117200,8.40E+3,3.00E-4
55,77,132Cs,1108.8,1108800,8.40E+3,7.90E-3
55,83,138Cs,1153.68,1153680,8.36E+3,6.64E-2
55,83,138Cs,1153.68,1153680,8.36E+3,6.64E-2
55,82,137Cs,1148.06,1148060,8.38E+3,2.20E-3
55,81,136Cs,1139.68,1139680,8.38E+3,1.38E-2
55,81,136Cs,1139.68,1139680,8.38E+3,1.38E-2
55,80,135Cs,1134,1134000,8.40E+3,2.70E-3
55,80,135Cs,1134,1134000,8.40E+3,2.70E-3
55,87,142Cs,1172.92,1172920,8.26E+3,4.97E-2
55,86,141Cs,1168.89,1168890,8.29E+3,6.51E-2
55,85,140Cs,1163.4,1163400,8.31E+3,5.86E-2
55,84,139Cs,1159.26,1159260,8.34E+3,2.25E-2
55,89,144Cs,1182.24,1182240,8.21E+3,1.39E-1
55,88,143Cs,1178.32,1178320,8.24E+3,5.30E-2
55,90,145Cs,1186.1,1186100,8.18E+3,6.25E-2
55,94,149Cs,1202.43,1202430,8.07E+3,3
55,93,148Cs,1197.32,1197320,8.09E+3,8.81E-2
55,92,147Cs,1195.11,1195110,8.13E+3,5.70E-2
55,91,146Cs,1189.9,1189900,8.15E+3,1.98E-2
55,97,152Cs,1212.96,1212960,7.98E+3,3
55,96,151Cs,1209.51,1209510,8.01E+3,3
55,95,150Cs,1204.5,1204500,8.03E+3,3
56,92,148Ba,1207.68,1207680,8.16E+3,1.01E-2
56,93,149Ba,1211.37,1211370,8.13E+3,1.68E-2
56,94,150Ba,1216.5,1216500,8.11E+3,3.79E-2
56,95,151Ba,1218.57,1218570,8.07E+3,3
56,90,146Ba,1198.66,1198660,8.21E+3,1.21E-2
56,91,147Ba,1202.46,1202460,8.18E+3,1.34E-1
56,96,152Ba,1223.6,1223600,8.05E+3,3
56,97,153Ba,1227.06,1227060,8.02E+3,3
56,98,154Ba,1232,1232000,8.00E+3,3
56,58,114Ba,921.12,921120,8.08E+3,9.00E-1
56,59,115Ba,932.65,932650,8.11E+3,2
56,60,116Ba,946.56,946560,8.16E+3,2
56,61,117Ba,957.06,957060,8.18E+3,2.13
56,62,118Ba,969.96,969960,8.22E+3,2
56,67,123Ba,1024.59,1024590,8.33E+3,9.85E-2
56,68,124Ba,1035.4,1035400,8.35E+3,1.00E-1
56,69,125Ba,1043.75,1043750,8.35E+3,8.79E-2
56,63,119Ba,980.56,980560,8.24E+3,1.68
56,64,120Ba,993.6,993600,8.28E+3,2.5
56,65,121Ba,1003.09,1003090,8.29E+3,1.17
56,66,122Ba,1015.04,1015040,8.32E+3,2.29E-1
56,70,126Ba,1054.62,1054620,8.37E+3,9.92E-2
56,71,127Ba,1062.99,1062990,8.37E+3,8.93E-2
56,71,127Ba,1062.99,1062990,8.37E+3,8.93E-2
56,72,128Ba,1073.92,1073920,8.39E+3,1.26E-2
56,73,129Ba,1082.31,1082310,8.39E+3,8.14E-2
56,73,129Ba,1082.31,1082310,8.39E+3,8.14E-2
56,78,134Ba,1125.6,1125600,8.40E+3,1.90E-3
56,79,135Ba,1132.65,1132650,8.39E+3,1.80E-3
56,79,135Ba,1132.65,1132650,8.39E+3,1.80E-3
56,74,130Ba,1092,1092000,8.40E+3,2.20E-3
56,75,131Ba,1099.09,1099090,8.39E+3,3.20E-3
56,75,131Ba,1099.09,1099090,8.39E+3,3.20E-3
56,76,132Ba,1108.8,1108800,8.40E+3,8.00E-3
56,77,133Ba,1117.2,1117200,8.40E+3,7.50E-3
56,77,133Ba,1117.2,1117200,8.40E+3,7.50E-3
56,81,137Ba,1149.43,1149430,8.39E+3,1.80E-3
56,81,137Ba,1149.43,1149430,8.39E+3,1.80E-3
56,82,138Ba,1157.82,1157820,8.39E+3,1.80E-3
56,83,139Ba,1162.04,1162040,8.36E+3,1.80E-3
56,84,140Ba,1169,1169000,8.35E+3,5.64E-2
56,80,136Ba,1142.4,1142400,8.40E+3,1.80E-3
56,80,136Ba,1142.4,1142400,8.40E+3,1.80E-3
56,89,145Ba,1193.35,1193350,8.23E+3,5.85E-2
56,85,141Ba,1173.12,1173120,8.32E+3,3.77E-2
56,86,142Ba,1180.02,1180020,8.31E+3,4.17E-2
56,87,143Ba,1184.04,1184040,8.28E+3,4.72E-2
56,88,144Ba,1189.44,1189440,8.26E+3,4.96E-2
57,60,117La,945.36,945360,8.08E+3,2
57,63,120La,980.4,980400,8.17E+3,2
57,68,125La,1037.5,1037500,8.30E+3,2.08E-1
57,68,125La,1037.5,1037500,8.30E+3,2.08E-1
57,69,126La,1047.06,1047060,8.31E+3,7.18E-1
57,69,126La,1047.06,1047060,8.31E+3,7.18E-1
57,64,121La,993.41,993410,8.21E+3,2
57,65,122La,1004.06,1004060,8.23E+3,2
57,66,123La,1015.98,1015980,8.26E+3,2
57,67,124La,1025.48,1025480,8.27E+3,4.57E-1
57,67,124La,1025.48,1025480,8.27E+3,4.57E-1
57,71,128La,1066.24,1066240,8.33E+3,4.25E-1
57,71,128La,1066.24,1066240,8.33E+3,4.25E-1
57,72,129La,1077.15,1077150,8.35E+3,1.65E-1
57,72,129La,1077.15,1077150,8.35E+3,1.65E-1
57,73,130La,1085.5,1085500,8.35E+3,1.99E-1
57,74,131La,1096.47,1096470,8.37E+3,2.13E-1
57,70,127La,1057.91,1057910,8.33E+3,2.04E-1
57,70,127La,1057.91,1057910,8.33E+3,2.04E-1
57,79,136La,1138.32,1138320,8.37E+3,3.91E-1
57,79,136La,1138.32,1138320,8.37E+3,3.91E-1
57,75,132La,1103.52,1103520,8.36E+3,2.75E-1
57,75,132La,1103.52,1103520,8.36E+3,2.75E-1
57,76,133La,1113.21,1113210,8.37E+3,2.10E-1
57,77,134La,1121.58,1121580,8.37E+3,1.48E-1
57,78,135La,1131.3,1131300,8.38E+3,6.99E-2
57,82,139La,1163.43,1163430,8.37E+3,4.40E-3
57,83,140La,1169,1169000,8.35E+3,4.30E-3
57,84,141La,1175.94,1175940,8.34E+3,2.93E-2
57,85,142La,1181.44,1181440,8.32E+3,4.43E-2
57,80,137La,1148.06,1148060,8.38E+3,1.20E-2
57,81,138La,1155.06,1155060,8.37E+3,3.00E-3
57,86,143La,1186.9,1186900,8.30E+3,5.13E-2
57,87,144La,1192.32,1192320,8.28E+3,8.98E-2
57,88,145La,1197.7,1197700,8.26E+3,8.46E-2
57,89,146La,1201.58,1201580,8.23E+3,1.15E-2
57,89,146La,1201.58,1201580,8.23E+3,1.15E-2
57,93,150La,1221,1221000,8.14E+3,1.68E-2
57,94,151La,1226.12,1226120,8.12E+3,2.88
57,95,152La,1231.2,1231200,8.10E+3,2
57,96,153La,1236.24,1236240,8.08E+3,2
57,90,147La,1208.34,1208340,8.22E+3,7.29E-2
57,91,148La,1212.12,1212120,8.19E+3,1.31E-1
57,92,149La,1217.33,1217330,8.17E+3,1.34
57,97,154La,1239.7,1239700,8.05E+3,2
57,98,155La,1243.1,1243100,8.02E+3,3
57,99,156La,1246.44,1246440,7.99E+3,3
57,100,157La,1251.29,1251290,7.97E+3,2
58,100,158Ce,1265.58,1265580,8.01E+3,3
58,63,121Ce,983.73,983730,8.13E+3,3
58,64,122Ce,996.74,996740,8.17E+3,3
58,69,127Ce,1051.56,1051560,8.28E+3,2.27E-1
58,69,127Ce,1051.56,1051560,8.28E+3,2.27E-1
58,65,123Ce,1007.37,1007370,8.19E+3,2
58,66,124Ce,1019.28,1019280,8.22E+3,2
58,67,125Ce,1030,1030000,8.24E+3,2
58,67,125Ce,1030,1030000,8.24E+3,2
58,68,126Ce,1042.02,1042020,8.27E+3,2.21E-1
58,72,130Ce,1082.9,1082900,8.33E+3,2.15E-1
58,73,131Ce,1091.23,1091230,8.33E+3,2.50E-1
58,73,131Ce,1091.23,1091230,8.33E+3,2.50E-1
58,74,132Ce,1102.2,1102200,8.35E+3,1.54E-1
58,75,133Ce,1109.22,1109220,8.34E+3,1.23E-1
58,75,133Ce,1109.22,1109220,8.34E+3,1.23E-1
58,70,128Ce,1062.4,1062400,8.30E+3,2.18E-1
58,71,129Ce,1071.99,1071990,8.31E+3,2.16E-1
58,76,134Ce,1120.24,1120240,8.36E+3,1.52E-1
58,77,135Ce,1128.6,1128600,8.36E+3,7.60E-2
58,77,135Ce,1128.6,1128600,8.36E+3,7.60E-2
58,78,136Ce,1138.32,1138320,8.37E+3,2.39E-3
58,79,137Ce,1145.32,1145320,8.36E+3,2.60E-3
58,79,137Ce,1145.32,1145320,8.36E+3,2.60E-3
58,83,141Ce,1177.35,1177350,8.35E+3,9.29E-3
58,84,142Ce,1184.28,1184280,8.34E+3,1.72E-2
58,85,143Ce,1189.76,1189760,8.32E+3,1.71E-2
58,86,144Ce,1196.64,1196640,8.31E+3,1.97E-2
58,80,138Ce,1155.06,1155060,8.37E+3,3.60E-3
58,80,138Ce,1155.06,1155060,8.37E+3,3.60E-3
58,81,139Ce,1163.43,1163430,8.37E+3,1.50E-2
58,81,139Ce,1163.43,1163430,8.37E+3,1.50E-2
58,82,140Ce,1171.8,1171800,8.37E+3,9.40E-3
58,87,145Ce,1200.6,1200600,8.28E+3,2.33E-1
58,88,146Ce,1207.42,1207420,8.27E+3,1.00E-1
58,89,147Ce,1212.75,1212750,8.25E+3,5.84E-2
58,94,152Ce,1240.32,1240320,8.16E+3,1
58,95,153Ce,1243.89,1243890,8.13E+3,1
58,96,154Ce,1248.94,1248940,8.11E+3,1
58,97,155Ce,1252.4,1252400,8.08E+3,2
58,90,148Ce,1219.52,1219520,8.24E+3,7.56E-2
58,91,149Ce,1223.29,1223290,8.21E+3,6.88E-2
58,92,150Ce,1230,1230000,8.20E+3,7.80E-2
58,93,151Ce,1233.67,1233670,8.17E+3,1.17E-1
58,98,156Ce,1257.36,1257360,8.06E+3,2
58,99,157Ce,1260.71,1260710,8.03E+3,3
59,100,159Pr,1276.77,1276770,8.03E+3,3
59,101,160Pr,1280,1280000,8.00E+3,2
59,102,161Pr,1284.78,1284780,7.98E+3,3
59,85,144Pr,1196.64,1196640,8.31E+3,1.88E-2
59,85,144Pr,1196.64,1196640,8.31E+3,1.88E-2
59,84,143Pr,1189.76,1189760,8.32E+3,1.27E-2
59,87,146Pr,1208.88,1208880,8.28E+3,2.35E-1
59,86,145Pr,1203.5,1203500,8.30E+3,4.92E-2
59,81,140Pr,1167.6,1167600,8.34E+3,4.39E-2
59,80,139Pr,1159.26,1159260,8.34E+3,2.63E-2
59,83,142Pr,1182.86,1182860,8.33E+3,1.06E-2
59,83,142Pr,1182.86,1182860,8.33E+3,1.06E-2
59,82,141Pr,1177.35,1177350,8.35E+3,1.06E-2
59,89,148Pr,1219.52,1219520,8.24E+3,1.01E-1
59,89,148Pr,1219.52,1219520,8.24E+3,1.01E-1
59,88,147Pr,1215.69,1215690,8.27E+3,1.07E-1
59,90,149Pr,1226.27,1226270,8.23E+3,6.63E-2
59,96,155Pr,1260.15,1260150,8.13E+3,1.11E-1
59,95,154Pr,1253.56,1253560,8.14E+3,6.49E-1
59,98,157Pr,1268.56,1268560,8.08E+3,2.02E-2
59,97,156Pr,1263.6,1263600,8.10E+3,6.60E-3
59,92,151Pr,1238.2,1238200,8.20E+3,7.72E-2
59,91,150Pr,1231.5,1231500,8.21E+3,6.01E-2
59,94,153Pr,1250.01,1250010,8.17E+3,7.77E-2
59,93,152Pr,1243.36,1243360,8.18E+3,1.22E-1
59,99,158Pr,1271.9,1271900,8.05E+3,2
59,62,121Pr,971.63,971630,8.03E+3,4
59,65,124Pr,1006.88,1006880,8.12E+3,3
59,67,126Pr,1030.68,1030680,8.18E+3,2
59,66,125Pr,1020,1020000,8.16E+3,2
59,69,128Pr,1052.16,1052160,8.22E+3,2.32E-1
59,68,127Pr,1042.67,1042670,8.21E+3,2
59,74,133Pr,1105.23,1105230,8.31E+3,9.40E-2
59,74,133Pr,1105.23,1105230,8.31E+3,9.40E-2
59,73,132Pr,1094.28,1094280,8.29E+3,2.18E-1
